Company Name,Year,Advertising,Cash Flow from Operations,Current Assets,Current Liabilities,Earnings Before Tax,EBITDA,Inventories,Long Term Debt,Net Income,Net Property Plant & Equip,Operating Income,Research & Development,Selling General & Admin,Stockholders Equity,Total Assets,Total Liabilities,Total Revenue
Alphabet Inc,2020,5400000000,65124000000,174296000000.00,56834000000,48082000000,60049000000,728000000,13932000000,40269000000,84749000000,41224000000,27573000000,28998000000,222544000000.00,319616000000.00,97072000000,182527000000.00
Altria Group Inc,2020,26000000,8385000000,7117000000,9063000000,7001000000,8392000000,1966000000,27971000000,4467000000,2012000000,10873000000,131000000,2154000000,2839000000,47414000000,44575000000,26153000000
Amazon.com Inc,2020,10900000000,66064000000,132733000000.00,126385000000.00,24178000000,41470000000,23795000000,31816000000,21331000000,113114000000.00,22899000000,-,129933000000.00,93404000000,321195000000.00,227791000000.00,386064000000.00
Amcor plc,2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ameren Corp,2020,-,1727000000,1653000000,2180000000,1032000000,2597000000,521000000,11078000000,871000000,26807000000,1300000000,-,-,8938000000,32030000000,23092000000,5794000000
American Airlines Group Inc,2020,50000000,-6543000000,11095000000,16569000000,-11453000000,-7897000000,1614000000,29796000000,-8885000000,31699000000,-10421000000,-,11473000000,-6867000000,62008000000,68875000000,17337000000
American Electric Power Co Inc,2020,-,3832900000,4351500000,9926700000,2146100000,6218600000,1310000000,28986400000,2200100000,63901600000,2987700000,-,0,20596100000,80757200000,60161100000,14918500000
American Express Co.,2020,-,5591000000,-,-,4296000000,-,-,-,3135000000,5015000000,-,-,-,22984000000,191367000000.00,168383000000.00,38185000000
American International Group Inc,2020,-,1038000000,-,-,-7293000000,-,-,-,-5944000000,-,-,-,-,66362000000,586481000000.00,520119000000.00,43736000000
American Tower Corp (New),2020,-,3881400000,2905600000,3655500000,1821100000,3499200000,-,28497700000,1690600000,12808700000,2887500000,-,778700000,4093500000,47233500000,43140000000,8041500000
"American Water Works Co, Inc.",2020,-,1426000000,1906000000,2881000000,924000000,1839000000,47000000,9329000000,709000000,19710000000,1248000000,-,0,6454000000,24766000000,18312000000,3777000000
Ameriprise Financial Inc,2020,-,4623000000,14680000000,19839000000,1831000000,2146000000,-,4744000000,1534000000,-,1993000000,-,3120000000,5867000000,165883000000.00,160016000000.00,11899000000
AmerisourceBergen Corp.,2020,-,2207040000,33055702000,33853077000,-5293831000,-4865204000,12589278000,3618261000,-3408716000,1484808000,-5135354000,-,9574524000,-1018924000,44274830000,45293754000,189893926000.00
AMETEK Inc,2020,-,1280980000,2522470000,1075915000,1082309000,1269671000,559171000,2281441000,872439000,526530000,1027884000,158900000,515630000,5949346000,10357483000,4408137000,4540029000
Amgen Inc,2020,-,10497000000,21144000000,11653000000,8133000000,9779000000,3893000000,32895000000,7264000000,4889000000,9139000000,4207000000,5730000000,9409000000,62948000000,53539000000,25424000000
Amphenol Corp.,2020,-,1592000000,5490800000,2304300000,1526600000,1950100000,1462200000,3636200000,1203400000,1054600000,1638400000,260700000,1014200000,5384900000,12327300000,6942400000,8598900000
Analog Devices Inc,2020,-,2008487000,2517688000,1364986000,1311617000,2311540000,608260000,5145102000,1220761000,1120561000,1498244000,1050519000,659923000,11997945000,21468603000,9470658000,5603056000
Ansys Inc.,2020,-,547310000,1719237000,728825000,493925000,527840000,-,798118000,433887000,96503000,496356000,355371000,587707000,4097872000,5940590000,1842718000,1681297000
Anthem Inc,2020,558000000,10688000000,45751000000,29453000000,6238000000,8021000000,-,19335000000,4572000000,3483000000,7022000000,-,17450000000,33199000000,86615000000,53416000000,121867000000.00
Aon plc (Ireland),2020,-,2783000000,18684000000,17433000000,2461000000,3202000000,-,7281000000,1969000000,599000000,2781000000,-,7872000000,3495000000,32114000000,28619000000,11066000000
APA Corp,2020,-,1388000000,1846000000,1308000000,-4840000000,-2641000000,492000000,8770000000,-4860000000,8819000000,-4573000000,-,290000000,-1031000000,12746000000,13777000000,4308000000
Apple Inc,2020,-,80674000000,143713000000.00,105392000000.00,67091000000,77257000000,4061000000,98667000000,57411000000,36766000000,66288000000,18752000000,19916000000,65339000000,323888000000.00,258549000000.00,274515000000.00
"Applied Materials, Inc.",2020,-,3804000000,13369000000,4459000000,4166000000,4685000000,3904000000,5448000000,3619000000,1604000000,4365000000,2234000000,1093000000,10578000000,22353000000,11775000000,17202000000
Aptiv PLC,2020,-,1413000000,7465000000,4046000000,1954000000,2730000000,1297000000,4011000000,1804000000,3301000000,684000000,-,976000000,7905000000,17522000000,9617000000,13066000000
Archer Daniels Midland Co.,2020,-,-2386000000,27286000000,18182000000,1304000000,2358000000,11713000000,7885000000,1772000000,9951000000,1277000000,160000000,2687000000,20000000000,49719000000,29719000000,64355000000
Arista Networks Inc,2020,-,735114000,3836998000,768243000,738863000,755924000,479668000,-,634557000,32231000,699684000,486594000,295608000,3320291000,4738919000,1418628000,2317512000
Assurant Inc,2020,-,1342000000,-,-,515300000,-,-,-,441800000,493300000,-,-,-,5951400000,44649900000,38698500000,10094800000
AT&T Inc,2020,5253000000,43130000000,52008000000,63438000000,-2951000000,25251000000,-,153775000000.00,-5176000000,127315000000.00,6405000000,1210000000,38039000000,161673000000.00,525761000000.00,364088000000.00,171760000000.00
Atmos Energy Corp.,2020,-,1037999000,471258000,782401000,746796000,1272641000,118779000,4531779000,601443000,13355347000,824099000,-,629601000,6791203000,15359032000,8567829000,2821137000
Autodesk Inc,2020,42200000,1415100000,2659300000,3219200000,294800000,438700000,-,1635100000,214500000,161700000,343000000,851100000,1715900000,-139100000,6179300000,6318400000,3274300000
Automatic Data Processing Inc.,2020,-,3026200000,31564100000,30126600000,3182600000,3398000000,-,1002800000,2466500000,703900000,3141700000,674100000,3003000000,5752200000,39165500000,33413300000,14589800000
"AutoZone, Inc.",2020,77600000,2720108000,6811872000,6283091000,2216514000,2825875000,4473282000,5513371000,1732972000,4509221000,2417679000,-,4353074000,-877977000,14423872000,15301849000,12631967000
"AvalonBay Communities, Inc.",2020,-,1219615000,344343000,329858000,818037000,1739519000,-,7564337000,827630000,-,688753000,-,60343000,10751583000,19199144000,8447561000,2301261000
Avery Dennison Corp,2020,-,751300000,2416200000,1926000000,737300000,961500000,717200000,2052100000,555900000,1343700000,809200000,112800000,1060500000,1484900000,6083900000,4599000000,6971500000
Baker Hughes Company,2020,-,1304000000,16455000000,10227000000,-15202000000,-13929000000,4421000000,6744000000,-9940000000,5358000000,-15978000000,595000000,2404000000,12893000000,38007000000,25114000000,20705000000
Ball Corp,2020,-,1432000000,4675000000,4444000000,687000000,1491000000,1353000000,7783000000,585000000,5351000000,1003000000,47000000,525000000,3275000000,18252000000,14977000000,11781000000
Bank of America Corp,2020,-,37993000000,-,-,18995000000,-,-,-,17894000000,11000000000,-,-,-,272924000000.00,2819627000000.00,2546703000000.00,93753000000
Bank of New York Mellon Corp,2020,-,5038000000,-,-,4468000000,-,-,-,3617000000,3602000000,-,-,-,45801000000,469633000000.00,423832000000.00,16940000000
Bath & Body Works Inc,2020,428000000,1236000000,3245000000,2372000000,-181000000,785000000,1287000000,5487000000,-366000000,2486000000,258000000,-,3472000000,-1499000000,10125000000,11624000000,12914000000
Baxter International Inc,2020,-,1868000000,8411000000,3333000000,1292000000,2027000000,1916000000,5786000000,1102000000,4722000000,1616000000,521000000,2469000000,8689000000,20019000000,11330000000,11673000000
"Becton, Dickinson & Co",2020,-,3539000000,8969000000,5836000000,985000000,3660000000,2743000000,17224000000,874000000,5923000000,1484000000,1096000000,4325000000,23765000000,54012000000,30248000000,17117000000
Berkley (WR) Corp,2020,-,1616686000,-,-,704802000,-,-,-,530670000,405930000,-,-,-,6310802000,28606913000,22296111000,8098925000
Berkshire Hathaway Inc,2020,-,39773000000,-,-,54967000000,-,-,-,42521000000,172416000000.00,-,-,-,443164000000.00,873729000000.00,430565000000.00,245510000000.00
Best Buy Inc,2020,-,2565000000,8857000000,8060000000,1993000000,2869000000,5174000000,1257000000,1541000000,2328000000,2009000000,-,7998000000,3479000000,15591000000,12112000000,43638000000
Bio-Rad Laboratories Inc,2020,-,575328000,2139835000,631536000,4907638000,5049399000,622253000,12258000,3806267000,491371000,410957000,226598000,800267000,9879940000,12972618000,3092678000,2545626000
Bio-Techne Corp,2020,4200000,205217000,520920000,106668000,276477000,377806000,103152000,344243000,229296000,176829000,157419000,65192000,260583000,1381192000,2027589000,646397000,738691000
Biogen Inc,2020,111800000,4229800000,6887100000,3742200000,5047500000,5894700000,1068600000,7426200000,4000600000,3411500000,4371300000,4065900000,2504500000,10700300000,24618900000,13918600000,13444600000
BlackRock Inc,2020,-,3743000000,12199000000,3527000000,6524000000,7067000000,-,7264000000,4932000000,681000000,5695000000,-,9341000000,35283000000,176982000000.00,141699000000.00,16205000000
Boeing Co. (The),2020,-,-18410000000,121642000000.00,87280000000,-14485000000,-10796000000,81715000000,61890000000,-11873000000,11820000000,-12978000000,2476000000,4817000000,-18316000000,152136000000.00,170452000000.00,58158000000
Booking Holdings Inc,2020,-,85000000,12206000000,3425000000,567000000,1160000000,-,11029000000,59000000,756000000,-631000000,-,4704000000,4893000000,21874000000,16981000000,6796000000
BorgWarner Inc,2020,-,1184000000,6167000000,3810000000,946000000,1045000000,1286000000,3738000000,500000000,4591000000,609000000,476000000,951000000,6428000000,16029000000,9601000000,10165000000
Boston Properties Inc,2020,-,1156840000,3015523000,613634000,1103801000,2221503000,-,13284250000,872727000,-,905322000,-,144738000,5996083000,22858190000,16862107000,2765686000
Boston Scientific Corp.,2020,-,1508000000,6694000000,3681000000,-79000000,612000000,1351000000,9130000000,-82000000,2084000000,-80000000,1143000000,3787000000,15326000000,30777000000,15449000000,9913000000
Bristol Myers Squibb Co.,2020,990000000,14052000000,30192000000,19080000000,-6871000000,4823000000,2074000000,48336000000,-9015000000,5886000000,-9185000000,11143000000,7661000000,37822000000,118481000000.00,80659000000,42518000000
Broadcom Inc (DE),2020,-,12061000000,11895000000,6371000000,2443000000,10957000000,1003000000,40235000000,2960000000,2509000000,4014000000,4968000000,1935000000,23901000000,75933000000,52032000000,23888000000
Broadridge Financial Solutions Inc,2020,6800000,598200000,1328000000,1341000000,579500000,811800000,-,1387600000,462500000,161600000,624900000,-,639000000,1346500000,4889800000,3543200000,4529000000
Brown & Brown Inc,2020,-,721647000,2958249000,2354352000,624099000,709372000,-,2025906000,480483000,201115000,680684000,-,1436377000,3754223000,8966492000,5212269000,2613375000
Brown-Forman Corp,2020,-,724000000,3265000000,880000000,1009000000,1160000000,1685000000,2269000000,827000000,848000000,1091000000,-,1025000000,1975000000,5766000000,3791000000,3363000000
Cadence Design Systems Inc,2020,-,904922000,1478587000,796808000,632748000,667689000,75956000,346793000,590644000,311125000,645552000,1033732000,670885000,2493018000,3950785000,1457767000,2682891000
Caesars Entertainment Inc (New),2020,64000000,-582000000,6667000000,2585000000,-1632000000,69000000,44000000,26368000000,-1757000000,14333000000,-437000000,-,882000000,5016000000,36385000000,31369000000,3474000000
Campbell Soup Co,2020,-,1396000000,2385000000,3075000000,766000000,1392000000,871000000,4994000000,1628000000,2368000000,1201000000,93000000,1602000000,2563000000,12372000000,9809000000,8691000000
Capital One Financial Corp,2020,-,16699000000,-,-,3203000000,-,-,-,2714000000,4287000000,-,-,-,60204000000,421602000000.00,361398000000.00,31643000000
"Cardinal Health, Inc.",2020,-,1960000000,25940000000,23615000000,-3772000000,-3129000000,13198000000,6765000000,-3696000000,2366000000,-4098000000,-,4572000000,1789000000,40766000000,38977000000,152922000000.00
Carmax Inc.,2020,191800000,-236606000,3663687000,1534707000,1160986000,1434593000,2846416000,14944056000,888433000,3069102000,1243993000,-,1940067000,3768875000,21082182000,17313307000,20319987000
Carnival Corp,2020,348000000,-6301000000,10563000000,8686000000,-10253000000,-7135000000,335000000,22130000000,-10236000000,38073000000,-8865000000,-,1878000000,20555000000,53593000000,33038000000,5595000000
Carrier Global Corp,2020,-,1692000000,8524000000,5110000000,2648000000,3170000000,1629000000,10036000000,1982000000,1810000000,2876000000,419000000,2820000000,6252000000,25093000000,18841000000,17456000000
Catalent Inc,2020,-,440300000,2293000000,893200000,260400000,551400000,323800000,2945100000,220700000,1900800000,394400000,63800000,577900000,3505400000,7776500000,4271100000,3094300000
Caterpillar Inc.,2020,-,6327000000,39464000000,25717000000,3995000000,7220000000,11402000000,25999000000,2998000000,12401000000,5142000000,1415000000,4642000000,15331000000,78324000000,62993000000,41748000000
Cboe Global Markets Inc,2020,-,1458800000,1566800000,1313300000,660400000,724800000,-,1135200000,468200000,82600000,662200000,-,364200000,3348900000,6516500000,3167600000,3427100000
CBRE Group Inc,2020,-,1830779000,8845631000,7143983000,843808000,1179861000,-,1380202000,751989000,815009000,881966000,-,3306205000,7078326000,18039143000,10960817000,23826195000
CDW Corp,2020,191000000,1314300000,5953500000,3898300000,1002300000,1370200000,760000000,3856300000,788500000,175500000,1179200000,-,2030900000,1297100000,9344700000,8047600000,18467500000
Celanese Corp (DE),2020,-,1343000000,3763000000,1973000000,2117000000,2569000000,978000000,3227000000,1985000000,3939000000,671000000,74000000,482000000,3526000000,10909000000,7383000000,5655000000
Centene Corp,2020,-,5503000000,23393000000,21585000000,2773000000,4707000000,-,16682000000,1808000000,2774000000,3082000000,-,11343000000,25773000000,68719000000,42946000000,111115000000.00
"CenterPoint Energy, Inc",2020,-,1995000000,2920000000,4825000000,563000000,2279000000,500000000,11521000000,-773000000,22362000000,1039000000,-,0,8348000000,33471000000,25123000000,7418000000
Ceridian HCM Holding Inc,2020,5500000,-30200000,4122600000,3863900000,-20000000,53100000,-,660600000,-4000000,136400000,7800000,-,333500000,2098200000,6701300000,4603100000,842500000
Cerner Corp.,2020,-,1436705000,2650987000,1168626000,991473000,1412247000,23027000,1336069000,780088000,1804083000,694044000,749007000,491586000,4482567000,7521096000,3038529000,5505788000
CF Industries Holdings Inc,2020,-,1231000000,1367000000,906000000,452000000,1489000000,287000000,3712000000,317000000,7632000000,627000000,-,206000000,2922000000,12023000000,9101000000,4124000000
Charles River Laboratories International Inc.,2020,-,546575000,1201131000,839751000,447114000,767590000,185695000,1929571000,364304000,1124358000,432729000,-,528935000,2114602000,5490831000,3376229000,2923933000
Charter Communications Inc (New),2020,-,14562000000,3906000000,9875000000,4302000000,15950000000,-,81744000000,3222000000,34357000000,8373000000,-,3031000000,23805000000,144206000000.00,120401000000.00,48097000000
Chevron Corporation,2020,-,10577000000,26078000000,22183000000,-7453000000,12752000000,5676000000,42767000000,-5543000000,156618000000.00,-6756000000,435000000,4213000000,131688000000.00,239790000000.00,108102000000.00,94692000000
Chipotle Mexican Grill Inc,2020,158570000,663847000,1420237000,822199000,293781000,716853000,26445000,-,355766000,1584311000,290164000,-,466291000,2020135000,5982896000,3962761000,5984634000
Chubb Ltd,2020,-,9785000000,-,-,3143000000,-,-,-,3533000000,-,-,-,-,59441000000,190774000000.00,131333000000.00,35994000000
Church & Dwight Co Inc,2020,-,990300000,1112400000,1388600000,967100000,1094300000,495400000,1812500000,785900000,612800000,1029700000,102600000,1184500000,3020400000,7414500000,4394100000,4895800000
Cigna Corp (New),2020,-,10350000000,-,-,10868000000,-,-,-,8458000000,4205000000,-,-,-,50321000000,155451000000.00,105130000000.00,160401000000.00
Cincinnati Financial Corp.,2020,-,1491000000,-,-,1499000000,-,-,-,1216000000,213000000,-,-,-,10789000000,27542000000,16753000000,7536000000
Cintas Corporation,2020,-,1291483000,2309699000,885195000,1058291000,1398601000,408898000,2539705000,876037000,1403065000,1162696000,-,2071052000,3235202000,7669885000,4434683000,7085120000
Cisco Systems Inc,2020,187000000,15426000000,43573000000,25331000000,13970000000,13776000000,1282000000,11578000000,11214000000,2453000000,13620000000,6347000000,11094000000,37920000000,94853000000,56933000000,49301000000
Citigroup Inc,2020,-,-20621000000,-,-,13632000000,-,-,-,11047000000,-,-,-,-,199442000000.00,2260090000000.00,2060648000000.00,88839000000
Citizens Financial Group Inc (New),2020,-,111000000,-,-,1298000000,-,-,-,1057000000,759000000,-,-,-,22673000000,183349000000.00,160676000000.00,7676000000
Citrix Systems Inc,2020,118400000,935809000,1991106000,2152427000,554880000,652040000,20089000,1732622000,504446000,208811000,608808000,538080000,1576486000,112143000,4890347000,4778204000,3236700000
Clorox Co (The),2020,-,1546000000,2020000000,1418000000,1165000000,1441000000,454000000,2780000000,939000000,1103000000,1257000000,145000000,1644000000,908000000,6213000000,5305000000,6721000000
CME Group Inc,2020,-,2715600000,89283900000,88197900000,2531500000,3008900000,-,3443800000,2105200000,579200000,2637400000,-,1491200000,26319900000,124659600000.00,98339700000,4883600000
CMS Energy Corp,2020,-,1276000000,2404000000,3074000000,880000000,2332000000,576000000,13690000000,755000000,21039000000,1362000000,-,359000000,5496000000,29666000000,24170000000,6680000000
Coca-Cola Co (The),2020,-,9844000000,19240000000,14601000000,8771000000,11157000000,3266000000,40125000000,7747000000,10777000000,8997000000,-,9731000000,19299000000,87296000000,67997000000,33014000000
Cognizant Technology Solutions Corp.,2020,-,3299000000,6851000000,3540000000,2096000000,2408000000,-,663000000,1392000000,1251000000,2114000000,-,3100000000,10836000000,16923000000,6087000000,16652000000
Colgate-Palmolive Co.,2020,1948000000,3719000000,4338000000,4404000000,3635000000,3887000000,1673000000,7334000000,2695000000,3716000000,3875000000,290000000,6019000000,743000000,15920000000,15177000000,16471000000
Comcast Corp,2020,-,24737000000,26741000000,28796000000,14065000000,26973000000,-,100614000000.00,10534000000,51995000000,17493000000,-,39850000000,90323000000,273869000000.00,183546000000.00,103564000000.00
"Comerica, Inc.",2020,-,928000000,-,-,591000000,-,-,-,474000000,459000000,-,-,-,8050000000,88129000000,80079000000,3094000000
Conagra Brands Inc,2020,230700000,1842600000,2885900000,3287400000,969900000,1516800000,1377900000,8900800000,840100000,2389600000,1457000000,56400000,1612600000,7876100000,22304000000,14427900000,11054400000
ConocoPhillips,2020,-,4802000000,12066000000,5366000000,-3140000000,3187000000,1002000000,14750000000,-2701000000,39893000000,-2334000000,75000000,430000000,29849000000,62618000000,32769000000,19256000000
Consolidated Edison Inc,2020,-,2198000000,5301000000,7354000000,1234000000,4133000000,356000000,20382000000,1101000000,46555000000,2654000000,24000000,0,18847000000,62895000000,44048000000,12246000000
Constellation Brands Inc,2020,769500000,2551100000,3484100000,2311800000,1723400000,2495300000,1373600000,11210800000,-11800000,5333000000,2080400000,-,1621800000,12131800000,27323200000,15191400000,8343500000
"Cooper Companies, Inc. (The)",2020,-,486600000,1274200000,1004400000,266500000,440500000,570400000,1383900000,238400000,1281900000,311800000,93300000,992500000,3824600000,6737500000,2912900000,2430900000
Copart Inc,2020,7700000,917885000,963759000,356044000,800839000,910710000,20080000,397036000,699907000,1941719000,816099000,-,191703000,2489516000,3455261000,965745000,2205583000
Corning Inc,2020,-,2180000000,8004000000,3767000000,648000000,2429000000,2438000000,8449000000,512000000,15742000000,509000000,1000000000,1747000000,13257000000,30775000000,17518000000,11303000000
Corteva Inc,2020,-,2064000000,14768000000,8548000000,675000000,1841000000,4882000000,1102000000,681000000,4396000000,508000000,1142000000,3043000000,24824000000,42649000000,17825000000,14217000000
Costco Wholesale Corp,2020,-,8861000000,28120000000,24844000000,5367000000,7087000000,12242000000,7514000000,4002000000,21807000000,5435000000,-,16332000000,18284000000,55556000000,37272000000,166761000000.00
Coterra Energy Inc,2020,-,778235000,415715000,390226000,241182000,689170000,15270000,945924000,200529000,4044606000,296026000,-,105391000,2215707000,4523532000,2307825000,1466624000
Crown Castle International Corp (New),2020,-,3055000000,1104000000,1969000000,1076000000,2963000000,-,19151000000,1056000000,15162000000,1863000000,-,678000000,9461000000,38768000000,29307000000,5840000000
CSX Corp,2020,-,4263000000,4441000000,2019000000,3627000000,5747000000,302000000,16304000000,2765000000,32444000000,4362000000,-,-,13101000000,39793000000,26692000000,10583000000
"Cummins, Inc.",2020,-,2722000000,11897000000,6335000000,2338000000,2943000000,3425000000,3610000000,1789000000,4255000000,2279000000,903000000,2125000000,8062000000,22624000000,14562000000,19811000000
CVS Health Corporation,2020,461000000,15865000000,56369000000,62017000000,9770000000,14777000000,18496000000,59207000000,7179000000,12606000000,13911000000,-,-,69389000000,230715000000.00,161326000000.00,268706000000.00
Danaher Corp,2020,-,6208000000,13802000000,7402000000,4495000000,6474000000,2292000000,21193000000,3646000000,3262000000,4231000000,1348000000,6896000000,39766000000,76161000000,36395000000,22284000000
"Darden Restaurants, Inc.",2020,-,717400000,1101400000,1792800000,-161000000,252200000,206900000,928800000,-52400000,2756900000,47900000,-,614400000,2331200000,9946100000,7614900000,7806900000
DaVita Inc,2020,-,1979028000,3148724000,2476143000,1291346000,2212083000,111625000,7917263000,773642000,3521824000,1667720000,-,1247584000,1383566000,16988516000,15604950000,11550604000
Deere & Co.,2020,196000000,7483000000,18128000000,23481000000,3883000000,5930000000,4999000000,32734000000,2751000000,5817000000,5130000000,1644000000,3477000000,12937000000,75091000000,62154000000,35540000000
Delta Air Lines Inc (DE),2020,119000000,-3793000000,17404000000,15927000000,-15587000000,-12358000000,732000000,27425000000,-12385000000,26529000000,-12469000000,-,9336000000,1534000000,71996000000,70462000000,17095000000
DENTSPLY SIRONA Inc,2020,-,635000000,1791000000,1317000000,-60000000,321000000,466000000,1978000000,-83000000,791000000,-12000000,115000000,1435000000,4967000000,9342000000,4375000000,3342000000
Devon Energy Corp.,2020,-,1464000000,3260000000,1440000000,-3090000000,-1543000000,-,4298000000,-2680000000,5393000000,-2844000000,-,338000000,2885000000,9912000000,7027000000,4828000000
DexCom Inc,2020,76500000,475600000,3424800000,614100000,225000000,373700000,234700000,1721200000,493600000,515300000,299500000,359900000,620700000,1826500000,4290500000,2464000000,1926700000
"Diamondback Energy, Inc.",2020,-,2118000000,602000000,1236000000,-5766000000,-5551000000,33000000,5624000000,-4517000000,16214000000,-5476000000,-,88000000,8794000000,17619000000,8825000000,2813000000
Digital Realty Trust Inc,2020,-,1706541000,2098571000,3213260000,458406000,2245095000,-,13304717000,356398000,-,557526000,-,351369000,17759708000,36076291000,18316583000,3903609000
Discover Financial Services,2020,-,6196000000,-,-,1435000000,-,-,-,1141000000,1027000000,-,-,-,10884000000,112889000000.00,102005000000.00,12953000000
Discovery Inc,2020,412000000,2739000000,6130000000,3082000000,1833000000,2738000000,-,15069000000,1219000000,1206000000,2515000000,-,2722000000,10464000000,34087000000,23623000000,10671000000
DISH Network Corp,2020,-,3311776000,7022158000,6084746000,2571801000,3276593000,380349000,13616408000,1762673000,2182333000,2582615000,-,1806122000,13780155000,38239947000,24459792000,15493435000
Disney (Walt) Co. (The),2020,4700000000,7616000000,35251000000,26628000000,-2394000000,4442000000,1583000000,52917000000,-2864000000,32078000000,-1941000000,-,12369000000,83583000000,201549000000.00,117966000000.00,65388000000
Dollar General Corp,2020,91000000,2237998000,5177868000,4543560000,2201730000,2802704000,4676848000,2911438000,1712555000,3278359000,2302304000,-,6186757000,6702500000,22825084000,16122584000,27753973000
Dollar Tree Inc,2020,102900000,1869800000,4269400000,3546500000,1098700000,1842700000,3522000000,3522200000,827000000,3881800000,1262200000,-,5465500000,6254800000,19574600000,13319800000,23610800000
Dominion Energy Inc (New),2020,-,5227000000,6886000000,10843000000,1411000000,5624000000,1550000000,33957000000,-401000000,57848000000,1994000000,-,871000000,26117000000,95905000000,69788000000,14172000000
Dominos Pizza Inc.,2020,462200000,592794000,869384000,470819000,555130000,796206000,66683000,4116018000,491296000,297364000,725642000,-,868851000,-3300405000,1567168000,4867573000,4117411000
Dover Corp,2020,21375000,1104810000,2619187000,1738798000,841734000,1090108000,835804000,3108829000,683451000,897326000,932987000,142101000,1541032000,3385773000,9152074000,5766301000,6683760000
