Company Name,Year,Advertising % TR,Calculated Tax Rate %,Current Ratio,Earnings Before Tax Margin %,EBITDA Margin %,Gross Margin %,Interest Coverage,Inventories % TA,Inventory Turnover,LT Debt to Equity,Net Current Assets % TA,Net PPE % TA,Net PPE Turnover,Net Profit Margin %,Operating Margin %,Quick Ratio,R&D % TR,Revenue per Employee,ROA % (Net),ROE % (Net),ROI % (Operating),Selling Gen & Admin % TR,Total Asset Turnover,Total Debt to Equity
Bath & Body Works Inc,2020,3.31,-,1.37,-1.40,6.08,34.46,0.68,12.71,6.68,-,8.62,24.55,4.88,-2.83,2,0.76,-,137177,-4.03,-,5.75,26.89,1.42,-
Baxter International Inc,2020,-,14.09,2.52,11.07,17.36,39.30,12.06,9.57,3.97,0.67,25.37,23.59,2.52,9.44,13.84,1.74,4.46,232822,5.75,13.26,11.47,21.15,0.61,0.71
"Becton, Dickinson & Co",2020,-,11.27,1.54,5.75,21.38,44.27,2.85,5.08,3.59,0.72,5.80,10.97,2.95,5.11,8.67,0.90,6.40,237087,1.65,3.89,3.60,25.27,0.32,0.75
Berkley (WR) Corp,2020,-,24.38,-,8.70,-,-,-,-,-,-,-,1.42,19.51,6.55,-,-,-,1077625,1.92,8.55,-,-,0.29,0.43
Berkshire Hathaway Inc,2020,-,22.63,-,22.39,-,-,-,-,-,-,-,19.73,1.48,17.32,-,-,-,680109,5.01,9.77,-,-,0.29,0.26
Best Buy Inc,2020,-,22.68,1.10,4.57,6.57,23.03,31.39,33.19,6.35,0.36,5.11,14.93,18.09,3.53,4.60,0.42,-,350063,10.85,45.55,42.66,18.33,3.07,0.37
Bio-Rad Laboratories Inc,2020,-,22.44,3.39,192.79,198.36,56.48,112.25,4.80,1.88,0,11.63,3.79,5.12,149.52,16.14,2.24,8.90,317334,36.18,48.56,5.09,31.44,0.24,0
Bio-Techne Corp,2020,0.57,17.07,4.88,37.43,51.15,65.41,8.47,5.09,2.63,0.25,20.43,8.72,4.45,31.04,21.31,3.69,8.83,320292,11.69,17.96,9.21,35.28,0.38,0.26
Biogen Inc,2020,0.83,19.66,1.84,37.54,43.84,86.57,24.22,4.34,1.93,0.69,12.77,13.86,4.03,29.76,32.51,1.21,30.24,1473392,15.39,33.19,23.30,18.63,0.52,0.69
BlackRock Inc,2020,-,18.98,3.46,40.26,43.61,-,27.78,-,-,0.21,4.90,0.38,23.15,30.44,35.14,3.46,-,979438,2.85,14.29,14.01,57.64,0.09,0.21
Boeing Co. (The),2020,-,-,1.39,-24.91,-18.56,-9.78,-,53.71,0.81,-,22.59,7.77,4.77,-20.42,-22.32,0.41,4.26,411341,-8.29,-,-40.48,8.28,0.41,-
Booking Holdings Inc,2020,-,89.59,3.56,8.34,17.07,-,-,-,-,2.25,40.14,3.46,9.07,0.87,-9.28,3.38,-,333864,0.27,1.09,-4,69.22,0.31,2.46
BorgWarner Inc,2020,-,41.97,1.62,9.31,10.28,18.79,9.98,8.02,7.89,0.58,14.70,28.64,2.70,4.92,5.99,1.15,4.68,203968,3.88,8.96,7.20,9.36,0.79,0.59
Boston Properties Inc,2020,-,-,4.91,39.91,80.32,62.75,2.10,-,-,2.22,10.51,-,-,31.56,32.73,4.69,-,3677506,3.94,14.90,4.88,5.23,0.12,2.22
Boston Scientific Corp.,2020,-,-,1.82,-0.80,6.17,65.05,-,4.39,2.37,0.60,9.79,6.77,4.75,-0.83,-0.81,0.94,11.53,260156,-0.27,-0.56,-0.33,38.20,0.32,0.60
Bristol Myers Squibb Co.,2020,2.33,-,1.58,-16.16,11.34,72.31,-,1.75,3.70,1.28,9.38,4.97,6.99,-21.20,-21.60,1.31,26.21,1401713,-7.24,-20.11,-9.81,18.02,0.34,1.34
Broadcom Inc (DE),2020,-,-21.20,1.87,10.23,45.87,56.58,2.33,1.32,6.98,1.68,7.27,3.30,9.44,12.39,16.80,1.56,20.80,1140649,4.14,12.15,6.41,8.10,0.33,1.72
Broadridge Financial Solutions Inc,2020,0.15,20.19,0.99,12.80,17.92,27.91,10.63,-,-,1.03,-0.27,3.30,25.77,10.21,13.80,0.88,-,376385,10.52,37.29,21.74,14.11,1.03,1.33
Brown & Brown Inc,2020,-,23.01,1.26,23.88,27.14,-,11.54,-,-,0.54,6.74,2.24,14.90,18.39,26.05,0.84,-,234037,5.78,13.49,12.62,54.96,0.31,0.56
Brown-Forman Corp,2020,-,18.04,3.71,30,34.49,63.25,14.17,29.22,0.77,1.15,41.36,14.71,4.03,24.59,32.44,1.41,-,698711,15.13,45.54,25.12,30.48,0.62,1.32
Cadence Design Systems Inc,2020,-,6.65,1.86,23.58,24.89,88.61,38.13,1.92,4.64,0.14,17.26,7.88,8.99,22.02,24.06,1.58,38.53,299943,15.90,25.29,24.02,25.01,0.72,0.14
Caesars Entertainment Inc (New),2020,1.84,-,2.58,-46.98,1.99,49.11,-,0.12,56.69,5.26,11.22,39.39,0.41,-50.58,-12.58,0.81,-,64158,-8.34,-57.14,-2.41,25.39,0.16,5.27
Campbell Soup Co,2020,-,22.72,0.78,8.81,16.02,34.51,3.52,7.04,6.57,1.95,-5.58,19.14,3.55,18.73,13.82,0.46,1.07,589686,12.55,87.38,12.89,18.43,0.67,2.42
Capital One Financial Corp,2020,-,15.17,-,10.12,-,-,-,-,-,-,-,1.02,7.28,8.58,-,-,-,607032,0.67,4.58,-,-,0.08,0.67
"Cardinal Health, Inc.",2020,-,-,1.10,-2.47,-2.05,4.49,-,32.38,11.23,3.78,5.70,5.80,64.59,-2.42,-2.68,0.47,-,5083473,-9.02,-90.82,-35.66,2.99,3.73,3.79
Carmax Inc.,2020,0.94,23.48,2.39,5.71,7.06,13.40,14.99,13.50,6.56,3.97,10.10,14.56,6.87,4.37,6.12,0.16,-,749149,4.45,24.87,6.76,9.55,1.02,4.08
Carnival Corp,2020,6.22,-,1.22,-183.25,-127.52,-47.36,-,0.63,21.64,1.08,3.50,71.04,0.15,-182.95,-158.45,1.13,-,96202,-20.70,-44.46,-20.96,33.57,0.11,1.31
Carrier Global Corp,2020,-,32.06,1.67,15.17,18.16,29.27,9.99,6.49,8.34,1.61,13.61,7.21,10.02,11.35,16.48,1.15,2.40,310863,8.32,19.42,18.76,16.15,0.73,1.64
Catalent Inc,2020,-,15.25,2.57,8.42,17.82,31.78,3.13,4.16,7.27,0.84,18,24.44,1.80,7.13,12.75,2,2.06,222003,3.15,7.60,6.68,18.68,0.44,0.86
Caterpillar Inc.,2020,-,25.18,1.53,9.57,17.29,30.34,4.66,14.56,2.57,1.70,17.55,15.83,3.29,7.18,12.32,1.02,3.39,427892,3.81,19.99,9.79,11.12,0.53,2.42
Cboe Global Markets Inc,2020,-,29.10,1.19,19.27,21.15,36.60,17.61,-,-,0.34,3.89,1.27,52.74,13.66,19.32,0.51,-,3383897,8.03,13.93,15.05,10.63,0.59,0.36
CBRE Group Inc,2020,-,25.37,1.24,3.54,4.95,20.06,13.02,-,-,0.19,9.43,4.52,28.78,3.16,3.70,1.08,-,237611,4.38,11.27,9.34,13.88,1.39,0.39
CDW Corp,2020,1.03,21.33,1.53,5.43,7.42,17.38,7.61,8.13,22.25,2.97,21.99,1.88,68.39,4.27,6.39,1.28,-,73668169,9.07,69.67,24.75,11,2.12,3.03
Celanese Corp (DE),2020,-,11.67,1.91,37.44,45.43,22.86,6.51,8.97,4.33,0.92,16.41,36.11,1.47,35.10,11.87,1.33,1.31,736426,19.42,65.62,9.80,8.52,0.55,1.06
Centene Corp,2020,-,35.30,1.08,2.50,4.24,19.39,4.23,-,-,0.65,2.63,4.04,45.28,1.63,2.77,1.02,-,1554157,3.29,9.41,8.93,10.21,2.02,0.65
"CenterPoint Energy, Inc",2020,-,-48.67,0.61,7.59,30.72,39.49,1.98,1.49,8.58,1.38,-5.69,66.81,0.34,-10.42,14.01,0.46,-,775362,-2.24,-9.23,4.58,0,0.21,1.61
Ceridian HCM Holding Inc,2020,0.65,-,1.07,-2.37,6.30,40.51,0.31,-,-,0.31,3.86,2.04,6.35,-0.47,0.93,0.07,-,140642,-0.06,-0.20,0.29,39.58,0.13,0.32
Cerner Corp.,2020,-,21.32,2.27,18.01,25.65,36.15,3877.34,0.31,152.16,0.30,19.71,23.99,2.97,14.17,12.61,1.91,13.60,206292,10.71,17.54,12.29,8.93,0.76,0.30
CF Industries Holdings Inc,2020,-,6.86,1.51,10.96,36.11,19.42,3.89,2.39,10.42,1.27,3.83,63.48,0.52,7.69,15.20,1.04,-,1370911,2.61,10.87,9.10,5,0.34,1.36
Charles River Laboratories International Inc.,2020,-,18.30,1.43,15.29,26.25,36.72,5.06,3.38,10.68,0.91,6.58,20.48,2.70,12.46,14.80,1.01,-,159346,7.17,19.49,11.39,18.09,0.58,0.94
Charter Communications Inc (New),2020,-,14.55,0.40,8.94,33.16,52.55,2.18,-,-,3.43,-4.14,23.82,1.39,6.70,17.41,0.32,-,499122,2.20,11.63,7.69,6.30,0.33,3.48
Chevron Corporation,2020,-,-,1.18,-7.87,13.47,46.68,-,2.37,8.76,0.32,1.62,65.31,0.61,-5.85,-7.13,0.77,0.46,1978240,-2.32,-4.01,-3.88,4.45,0.40,0.34
Chipotle Mexican Grill Inc,2020,2.65,-21.10,1.73,4.91,11.98,17.40,37.91,0.44,188.18,-,10,26.48,3.92,5.94,4.85,1.28,-,67821,6.40,19.16,15.63,7.79,1.08,-
Chubb Ltd,2020,-,20.01,-,8.73,-,-,-,-,-,-,-,-,-,9.82,-,-,-,1157924,1.92,6.14,-,-,0.20,0.25
Church & Dwight Co Inc,2020,-,19.43,0.80,19.75,22.35,45.23,16.88,6.68,5.88,0.60,-3.73,8.26,8.23,16.05,21.03,0.41,2.10,957338,11.14,27.56,20.71,24.19,0.69,0.72
Cigna Corp (New),2020,-,21.89,-,6.78,-,-,-,-,-,-,-,2.71,37.11,5.27,-,-,-,2170458,5.42,17.64,-,-,1.03,0.63
Cincinnati Financial Corp.,2020,-,18.88,-,19.89,-,-,-,-,-,-,-,0.77,35.79,16.14,-,-,-,1427157,4.58,11.74,-,-,0.28,0.08
Cintas Corporation,2020,-,17.19,2.61,14.94,19.74,45.64,11.14,5.33,10.36,0.79,18.57,18.29,4.99,12.36,16.41,1.14,-,176644,11.57,28.01,19.94,29.23,0.94,0.79
Cisco Systems Inc,2020,0.38,19.73,1.72,28.34,27.94,64.26,-,1.35,13.22,0.31,19.23,2.59,18.86,22.75,27.63,1.58,12.87,637890,11.67,31.46,24.67,22.50,0.51,0.38
Citigroup Inc,2020,-,18.52,-,15.34,-,-,-,-,-,-,-,-,-,12.43,-,-,-,421580,0.52,5.61,-,-,0.04,1.36
Citizens Financial Group Inc (New),2020,-,18.57,-,16.91,-,-,-,-,-,-,-,0.41,10.07,13.77,-,-,-,435340,0.60,4.70,-,-,0.04,0.37
Citrix Systems Inc,2020,3.66,9.09,0.93,17.14,20.15,84.60,9.89,0.41,25.89,15.45,-3.30,4.27,14.65,15.59,18.81,0.81,16.62,358651,10.84,105.93,35.45,48.71,0.70,15.45
Clorox Co (The),2020,-,21.12,1.42,17.33,21.44,45.57,12.96,7.31,7.57,3.06,9.69,17.75,6.27,13.97,18.70,1.07,2.16,761663,16.53,127.67,36.18,24.46,1.18,3.06
CME Group Inc,2020,-,24.32,1.01,51.84,61.61,-,15.87,-,-,0.13,0.87,0.46,8.67,43.11,54.01,1.01,-,1114475,2.10,8.01,8.82,30.53,0.05,0.13
CMS Energy Corp,2020,-,15.11,0.78,13.17,34.91,41.45,2.48,1.94,6.62,2.49,-2.26,70.92,0.33,11.30,20.39,0.42,-,753847,2.67,14.32,6.99,5.37,0.24,2.76
Coca-Cola Co (The),2020,-,22.59,1.32,26.57,33.79,59.31,8.43,3.74,4.04,2.08,5.31,12.35,3.05,23.47,27.25,0.96,-,410010,8.90,40.36,14.49,29.48,0.38,2.22
Cognizant Technology Solutions Corp.,2020,-,33.59,1.94,12.59,14.46,35.92,-,-,-,0.06,19.57,7.39,12.97,8.36,12.70,1.64,-,57363,8.38,12.70,18.10,18.62,1,0.06
Colgate-Palmolive Co.,2020,11.83,21.65,0.99,22.07,23.60,60.82,23.63,10.51,4.20,9.87,-0.41,23.34,4.40,16.36,23.53,0.49,1.76,480292,17.37,625.03,47.39,36.54,1.06,10.23
Comcast Corp,2020,-,23.92,0.93,13.58,26.04,68.02,3.81,-,-,1.11,-0.75,18.99,2.06,10.17,16.89,0.81,-,614768,3.91,12.14,9.21,38.48,0.38,1.15
"Comerica, Inc.",2020,-,19.80,-,19.10,-,-,-,-,-,-,-,0.52,6.74,15.32,-,-,-,392064,0.59,6.15,-,-,0.04,0.36
Conagra Brands Inc,2020,2.09,20.75,0.88,8.77,13.72,27.77,2.99,6.18,5.41,1.13,-1.80,10.71,4.55,7.60,13.18,0.43,0.51,659129,3.71,10.83,8.03,14.59,0.49,1.24
ConocoPhillips,2020,-,-,2.25,-16.31,16.55,35.49,-,1.60,12.25,0.49,10.70,63.71,0.47,-14.03,-12.12,1.95,0.39,1979731,-4.05,-8.31,-4.90,2.23,0.29,0.51
Consolidated Edison Inc,2020,-,7.29,0.72,10.08,33.75,58.38,2.60,0.57,14.40,1.08,-3.26,74.02,0.27,8.99,21.67,0.54,0.20,867923,1.82,5.96,6.67,0,0.20,1.19
Constellation Brands Inc,2020,9.22,-56.09,1.51,20.66,29.91,49.76,4.85,5.03,2.39,0.92,4.29,19.52,1.57,-0.14,24.93,0.41,-,924523,-0.04,-0.10,8.22,19.44,0.29,1
"Cooper Companies, Inc. (The)",2020,-,10.54,1.27,10.96,18.12,63.14,8.47,8.47,1.66,0.36,4,19.03,2.01,9.81,12.83,0.54,3.84,202022,3.65,6.38,5.62,40.83,0.37,0.47
Copart Inc,2020,0.35,12.60,2.71,36.31,41.29,45.69,43.25,0.58,58.40,0.16,17.59,56.20,1.31,31.73,37,2.30,-,289415,23.26,32.71,32.12,8.69,0.73,0.16
Corning Inc,2020,-,17.13,2.12,5.73,21.49,31.24,1.95,7.92,3.27,0.64,13.77,51.15,0.73,4.53,4.50,1.27,8.85,224947,1.71,3.90,2.35,15.46,0.38,0.66
Corteva Inc,2020,-,-12,1.73,4.75,12.95,40.16,-,11.45,1.72,0.04,14.58,10.31,3.17,4.79,3.57,1.02,8.03,675150,1.60,2.76,2.01,21.40,0.33,0.04
Costco Wholesale Corp,2020,-,24.37,1.13,3.22,4.25,13.09,72.47,22.04,12.26,0.41,5.90,39.25,7.83,2.40,3.26,0.60,-,612524,7.95,23.94,22.73,9.79,3.31,0.42
Coterra Energy Inc,2020,-,16.83,1.07,16.44,46.99,56.06,5.47,0.34,44.14,0.43,0.56,89.41,0.37,13.67,20.18,0.89,-,2907787,4.44,9.16,8.78,7.19,0.32,0.51
Crown Castle International Corp (New),2020,-,1.86,0.56,18.42,50.74,66.28,2.71,-,-,2.02,-2.23,39.11,0.39,18.08,31.90,0.33,-,1188580,2.73,10.56,6.48,11.61,0.15,2.04
CSX Corp,2020,-,23.77,2.20,34.27,54.30,54.29,5.92,0.76,17.19,1.24,6.09,81.53,0.33,26.13,41.22,2,-,546844,7.07,22.10,15.03,-,0.27,1.28
"Cummins, Inc.",2020,-,22.54,1.88,11.80,14.86,24.70,28.85,15.14,4.32,0.45,24.58,18.81,4.65,9.03,11.50,1.15,4.56,341667,8.42,22.92,20.57,10.73,0.93,0.52
